Name,Ranking,Cuisine,Address,Country,Postcode,City,URL,Username,User Location,User Rating,User Contribution,User Helpful Vote,Comment,User Response Date,Date Of Stay / Experienced / Visit,User Traveller Type
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,Andrew L,"Kuala Lumpur, Malaysia",5.0,8,3,"Nice Taste, Reasonable price, Friendly staff, will definitely have second time to bring along family eat.",20 June 2020 ,June 2020,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,Adrian T,No Country,5.0,8,2,"Stop by Kampar and tried this famous Clay pot chicken Rice. one of the best in Malaysia.The restaurant is an old classic Chinese style the furniture, the tiles, it brings back the 80s vibe. This Restaurant is very popular especially during in Weekend You may need to wait for some time as the restaurant is always full as they are short of hand and only few staff working. But, great food always worth the wait.",31 December 2019 ,December 2019,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,The_Traveler010710,"Shah Alam, Malaysia",5.0,308,232,"A restaurant rated #1 would not go wrong. This restaurant specialised in claypot chicken rice cooked with charcoal. We ordered one pot (big) of the chicken rice, liver, choy sum and chicken feet. The portion is very big for us (2A2C). The rice was soft, fully cooked, chicken was also very tender and flavourful. Liver was also soft, no rubber taste, and chicken feet was good too. This restaurant only serve dinner. Overall, good ‘eating’ experience! ",2 August 2020 ,August 2020,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,FlorenceH626,"Penang Island, Malaysia",5.0,91,39,"This is the best clay pot chicken rice we have ever had! Not just in Kampar but the best we have tasted so far! It has generous servings of chicken, salted fish and Chinese sausages to make the whole experience very delightful. Be prepared to wait as the chef is meticulous and takes time to prepare. Not something to have if you are in a hurry as it is cooked from scratch. Location is very easy find, along Jalan Idris, and they are open from 5pm - 9pm. It is housed in a typical Chinese coffee shop setting. My children who don’t like clay pot rice has asked for this three days in a row! This is a definite must try in Kampar!",19 August 2018 ,August 2018,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,KWANKOONG,"Jakarta, Jakarta Raya, Indonesia",4.0,4,3,"I had this during my trip in September and I must say it is one of the best chicken claypot rice I ever had. The ingredients was a lot with lap cheong, mushroom, and lavish chunks of chicken...The gravy was excellent with a dash of chinese rice wine making it a perfect combination as far as taste is concern.",7 November 2019 ,September 2019,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,srain c,"Kampar District, Malaysia",4.0,12,7,"Their claypot chicken rice got 2 types, 1 is steam minced ginger chicken with with rice and 1 is mix with dark soy sauce, both also nice, they still using the old way to cook the rice with charcoal",9 July 2018 ,July 2018,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,nel93,"Penang Island, Malaysia",5.0,66,27,"This meal really satisfy me and my family. We ordered food for 4 with Chinese tea and it costs us only RM22. Moreover, the food quality is really great and awesome. Most importantly, you could witness their use of traditional cooking method in preparing for your meal. Way to go! Gambatteh!",2 December 2017 ,December 2017,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,jeiwong,"Kajang, Malaysia",4.0,37,12,"So far this is the best claypot chicken rice I had!Large portion, fair price, just needed to be patient as it takes time for the cooking.The rice is soft and tasty(some of it is dry), chicken in the rice is delicious.There is two kinds of claypot rice: white sauce or dark sauce.Will definitely come again!",27 June 2017 ,June 2017,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,SummerDay05,Malaysia,4.0,13,5,"After made a comparison between a few Claypot Chicken Rice shops in Kampar area, still, Chan Siew Heng Claypot Chicken Rice is my preferred one.",5 May 2017 ,November 2016,None
Chan Siew Heng Claypot Chicken Rice 陳少卿瓦煲雞飯,4.5,Chinese,47 Jalan Idris,Malaysia,31900,Kampar,https://www.tripadvisor.com.my/Restaurant_Review-g3522152-d7243567-Reviews-Chan_Siew_Heng_Claypot_Chicken_Rice-Kampar_Kampar_District_Perak.html,WanErlL,No Country,4.0,16,3,"We were on the way to KL from Penang and made a stop at Kampar to get dinner, can't find any restaurant that looks good, at last found two claypot rice restaurant that we had hard time to choose, one is packed of people, the other one less customers ( Chan Siew heng ) so we decided to eat here ( Chan Siew Heng ), at first a bit skeptical, cuz the other restaurant packed and this one not really, but due to hate to wait, we chose this, Ordered a big pot ( 3 of us ) with sausage and salted fish, a large chicken feet mushroom and a plate of Choysum, the rice was good with the right texture not to soft, very fragrant and surprisingly extra soft tender chicken, generous serving of chicken, chicken feet was so tender and tasty really like my grandmother style, really old style, choysum was good with a light hint of soy and oyster sauce. The whole dinner costs us RM27.60 including 2 ice Chinese tea. Will definitely visit again!",3 December 2016 ,December 2016,None
