Name,Rate,Address,Country,Pos Code,City,URL,Username,User Location,User Rating,User Contribution,User Helpful Vote,Comment,User Response Date,Date Of Stay,User Traveller Type
Batu Ferringhi Hidden Gems,4.5,"Jalan Batu Ferringhi, Batu Ferringhi",Malaysia,None,Penang,https://www.tripadvisor.com.my/Attraction_Review-g635527-d15737342-Reviews-Batu_Ferringhi_Hidden_Gems-Batu_Ferringhi_Penang_Island_Penang.html,Data lin,"Penang Island, Malaysia",5.0,3,0,"Very Relax environment, nice view and can enjoy very much. Relaxing walk is the most fun of the trip. Cold Weather too",Feb 2020,May 2019,None
Batu Ferringhi Hidden Gems,4.5,"Jalan Batu Ferringhi, Batu Ferringhi",Malaysia,None,Penang,https://www.tripadvisor.com.my/Attraction_Review-g635527-d15737342-Reviews-Batu_Ferringhi_Hidden_Gems-Batu_Ferringhi_Penang_Island_Penang.html,Joanna N,No Country,5.0,2,1,"I am local but never knew about the beautiful waterfalls hidden in our own hills. Peter is a friendly and wonderful guide and knows a lot about the hiking trails in Penang. The aqueduct is really an engineering marvel. I loved the hike through the forest  and the perfect finish was a dip into the cold and refreshing river at the end. It was a piece of paradise, with butterflies flying everywhere, the sound of the rushing stream and cicadas in the background.  It is the kind of trip you would want to do over and over again.",Mar 2019,November 2018,Solo
Batu Ferringhi Hidden Gems,4.5,"Jalan Batu Ferringhi, Batu Ferringhi",Malaysia,None,Penang,https://www.tripadvisor.com.my/Attraction_Review-g635527-d15737342-Reviews-Batu_Ferringhi_Hidden_Gems-Batu_Ferringhi_Penang_Island_Penang.html,MoPekoe,"Singapore, Singapore",5.0,97,158,"This is a relaxing ‘morning walk/jog’ or light hike type activity, where the loop trail is about 6-7km. Fitness level required: Low, flat terrain. Attractive features: Serenity, peace, calm, pre-war rustic colonial heritage building structures within the catchment area, bathe under dam waterfall, bathe under various waterfalls and stream rock pools, mix of secluded tarred road, light forest ferny trail, and main road.The trail is through the Penang Water Authority (Malay: Perbadanan Bekalan Air (PBA)): Penang water supply agency) water catchment and processing area. The catchment area is called “Batu Ferringhi Aqueduct”, and associated with it, “Batu Ferringhi Dam” (also known as “Batu Ferringhi Waterfall”). The dam is a small one, more of a weir. The dam/waterfall is in an area in Batu Ferringhi unofficially called “Chin Farm” because of a small freshwater fish farm there that draws on the stream water in that area of streams, waterfalls and stream rock pools.This trail is through secluded, quiet tarred road within the restricted access catchment area, light wild forest trail, then normal coastal main road looping back to the starting point (assuming you parked your car at the starting point).The PBA aqueduct, catchment and dam area is a restricted controlled access area. But, if you are a casual stroller or jogger, the PBA is quite flexible to let you access, traverse through, on the basis that they trust you to behave yourself.On getting to starting point. If by bus, assuming you start from Georgetown, take the government “Rapid Transit” public bus from the town bus terminus (“Komtar” or “Pengkalan Weld” (Weld Quay) to Batu Ferringhi. Buses to “Batu Ferringhi” or “Telok Bahang” (one village westwards beyond “Batu Ferringhi”) will get you there. Alight at the “Holiday Inn Resort” hotel at Batu Ferringhi, along the main coastal road. (This is the area of the Batu Ferringhi night market.) The hotel is on the sea-side. Cross the main road to the land-side directly opposite. Walk upslope on “Jalan Sungai 1”. Further upslope, you will see Uplands International School on right, at junction. Turn right at this junction. Go past this school. Further uproad/slope, you see a fenced-up “Pasar Batu Ferringhi” (Batu Ferringhi Market), a building complex with carpark. I think this is an unused market building complex, looks abandoned and empty. Near this building complex, you see a cul-de-sac, and a blue-colored guardhouse, and a gate. This is the PBA guardhouse into the catchment area. There may or may not be a guard there. If no guard, you will see a sign-in register book, sign-in here.If you drove, park your car at this cul-de-sac. Morning walkers park their cars in this unofficial carpark.You are on a tarred road. The high ground water catchment area transports you to a serene calm world of its own. Observe the raw unprocessed water flowing in the white aqueduct. Observe the rustic classic white water-control building structures. Enjoy the serenity. You may meet some bullying, aggressive monkeys along the tarred road. Do not show that you are intimidated by them, or they will bully and harass you. Meet aggression with aggressive. Fight fire with fire. Growl at them. Stomp your feet. A hiking pole will be useful, not to hurt them, but to ward them off. Do not cower.You come to a fork, as marked by a classic cannon on elevated ground. Detour upslope to take the cannon direction, follow the road. When done, return to this cannon junction, to continue.When back to the cannon landmark, continue on the main tarred road. You will come to a tranquil dammed stream. This is “Batu Ferringhi Dam/Waterfall”. A mini-dam, a weir. There may or may not be waterfall water flow depending on whether it is dry or wet season. This is, sort of, the start of the so-called “Chin Farm” area of mini-waterfall cascades, stream pools. Descend from the dam top, to the rocky stream bed bottom (parts of it above water, but slippery, be careful), via a steep path. If the waterfall and stream water are in full flourish typically in the wet/rainy season, picnic, bathe, relax here. Enjoy the natural serenity.To carry on beyond the dam, stand on the rocky stream bed, your back to the dam, facing downstream. Turn right, follow the trail. You will see an overhead huge fat water pipe, over a pretty stream rock pool.  You will pass a luxuriant area of ferns. Under bright sunlight, this green sea of ferns shimmers brilliantly, a beautiful sight.Further, you see a dull water tower structure, and a broken fence perimeter. Beyond this fence, you exit the PBA water catchment area. As you hike along the trail, you hear the sound of the stream on your right. Watch out for a rough access forest path that gets you to the rocky area of stream, mini-waterfalls and stream rockpools. This is the so-called “Chin Farm Waterfalls” (more cascades than waterfalls) area. This is a pretty, serene area ideal for bathing, picnic, photography and chilling. It may not be much in the dry season, but is quite wonderful in the wetter months when the water is in full flow. There is a part of the stream where there is a rock depression. You can tuck yourself into this cocoon of a depression, chill, and have the stream water gush past, caressing and massaging your body. For your information, the “Chin Farm” fish farmer’s house is downstream. You may hear his guard dogs bark.Once you are done bathing and chilling, rejoin the trail. Continue in seaward direction towards the main “Jalan Batu Ferringhi” coastal road. On joining the main road, turn right in Georgetown-direction to get back to the PBA guardhouse starting point, if you had parked your car there. If you do this, you would have covered 6-7km in a loop.For your information, separate from the above hike, the “Batu Ferringhi Dam/Waterfall” is also the start-point for the “Batu Ferringhi - Bukit Laksamana - Penang Hill” hike, the longest, most arduous hike on the island, fitness level Medium-High, see my other Tripadvisor post on this hike.",Jul 2019,June 2019,Friends
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,Cleo S,Singapore,4.0,5,0,"The weather is great when I went with the guide whom l hired through Trip Advisor, Mr Peter.  The farm has got excellent view of Penang. The fruits, plants are refreshing to see. The little waterfall pool is cool to soak my feet, seeing fishes swimming underneath. Definitely has to bring mosquitoes repellent, sun cap and poncho. Water bottle to drink. Do your toileting before climbing up. I enjoy the trip",Sep 2019,September 2019,Solo
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,Ramon T,"Emeryville, California",4.0,135,42,"After posting another review on Tripadvisor, I happened on the previous reviews of this waterfall from another reviewer.  Well, I googlemapped it and it turn out to be about 1.6 kilometers from the hotel we were staying.  I figured out a route along the beach, turned into the main road and crossed it, turned left at an Indian restaurant and found the unmarked road that led into the jungle.  We hiked a few hundred meters up a gravel road.  Yes,  there were several unfinished construction sites along the gravel road and some trash but the walk was pleasant enough.After about 400 meters from the road, there was a house with some barking dogs, a small old rusting bridge, the road turned into a swampy trail.  My girlfriend and I managed to avoid the boggy parts and advanced up the rocks, following the stream to the waterfalls and there was no one there.  It was pretty.  There were some macaque monkeys chattering in the distance but they left us alone.We didn't take a dip but we just lounged around and enjoyed the butterflies and dragonflies as the dipped around the waters around our feet.   Really nice secluded spot.  Highly recommended if you are staying around this area.",Nov 2019,November 2019,None
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,vsky,No Country,3.0,1,1,The location on trip advisor is misplaced. I have posted an update. Not sure it will be accepted. The road to waterfall is accompanied by tons of structural waste and is a bit stinking. The place itself is not bad but I am bot sure it worth the visit.,Dec 2018,December 2018,Families
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,Tessahern14,"Auckland, New Zealand",4.0,106,32,This was worth the short walk but directions were confusing as one site said 1.7 kms and another said 5.6kms. We walked the first part and followed the helpful directions from other reviews re turning at cafe. However we then tried walking to the 2nd site shown but never made it as it was confusing where ithe falls were and after 60mins walking in the hot sun we went to Monkey Beach and hired a boat back to the Park Royal and it was really cheap! Great adventure though!,Jan 2019,January 2019,Couples
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,Kathleen D,Australia,5.0,109,28,"This was a great find!!!The locations is correct on Googlemaps, so is easy to find and it is about a 10 min walk up from the main road. Its a dirt/road and there were numerous trucks and heavy machinery digging along the sides, so it was pretty muddy.In early-December 2018 there was a raging waterfall because of all of the recent rain. And it was spectacular.There is an area which could be used as a car park & it is an easy few min up some steps to get to the top of the rocks.Well worth getting off the main road and exploring this waterfall",Dec 2018,December 2018,Solo
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,Paula G,"Greater Adelaide, Australia",3.0,75,25,"A short 12 minute walk along a flat track (located opposite Bayview, track begins next to VSassy Cafe).  Walk straight until you see Chin Farm Carpark sign, then veer left over small bridge.  The waterfall itself was clean and pleasant enough, but all around people had left rubbish behind them, such a shame.  Still nice for a small 'jungle' walk with young kids and a quick wade.",Oct 2018,October 2018,Families
Chin Farm Waterfall,4.0,"Feringgi Villas, Batu Ferringhi",Malaysia,11050,Penang Island,https://www.tripadvisor.com.my/Attraction_Review-g635527-d12272987-Reviews-Chin_Farm_Waterfall-Batu_Ferringhi_Penang_Island_Penang.html,VinnieRaj88,"Singapore, Singapore",5.0,4,2,Underrated place. Best adventure at penang Island. No room for changing so just remember to be in ur swim suit clothes when u go there..,Sep 2018,September 2018,Couples
